ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,description,categories,category
0440187354,TINSEL,WILLIAM GOLDMAN,1980,Dell,"In the glittering world of Hollywood peopled with stars, hopefuls, and hasbeens, hungry and cunning producers, starlets, moguls, and whores are willing to sacrifice everything for an elusive place at the top",Fiction,Fiction
0440201047,Serenissima,Erica Jong,1988,Dell Publishing Company,"Jessica Pruitt, a popular Hollywood actress and aficionado of Shakespeare, is transported to the sixteenth century where she becomes the inspiration behind the great poet's most enigmatic work",Fiction,Fiction
0440208149,An Acceptable Time,Madeleine L'Engle,1990,Laure Leaf,"A quiet visit with her grandparents turns into a lesson in the fluidity of time for Polly O'Keefe when she meets several strangers from overlapping temporal planes and, with them, plays a key role in a prehistoric confrontation.",Juvenile Fiction,Juvenile
0440214920,Drawing Blood,POPPY BRITE,1994,Dell,"Twenty years after his tortured cartoonist father killed his mother and siblings, cartoonist Trevor McGee returns to the scene of the crime, determined to face the demons of the past and the dark force threatening to destroy him",Fiction,Fiction
0440215811,The Blue Knight,Joseph Wambaugh,1993,Dell Publishing Company,"Don't pass up the incredible values offered in this month's $3.99 promotion with Robert B. Parker's Spenser novel, Pale Kings and Princes, John Saul's terrifying Comes the Blind Fury, and Joseph Wambaugh's blockbuster, The Blue Knight. The Blue Knight is a Los Angeles cop whose beat is a world of pimps, pushers, winos, whores, and killers--a cop who lives each day on the razor's edge.",Los Angeles (Calif.),History & Politics
044021680X,Gai-Jin: A Novel of Japan,James Clavell,1994,Dell Publishing Company,"Malcolm Struan, the heir to the most powerful English trading company in the Orient, finds his fate intertwined with that of a beautiful young French woman",Fiction,Fiction
0440220459,Drop Shot (Myron Bolitar Mysteries (Paperback)),HARLAN COBEN,1996,Dell,"Investigating the killing of a burned-out tennis star, sports agent Myron Bolitar uncovers a connection between the victim and a rising star from the wrong side of the tracks, while a corrupt senator and organized crime watch his every move. Reissue.",Fiction,Fiction
0440224047,Purple Cane Road,James Lee Burke,2001,Dell Publishing Company,"Haunted by the mother he never knew, Dave Robicheaux is stunned when a chance meeting reveals that his mother was murdered by a New Orleans police officer, a discovery that has him searching for the killer.",Fiction,Fiction
0440227534,Number the Stars (Laurel Leaf Books),Lois Lowry,1998,Laurel-Leaf Books,"In 1943, during the German occupation of Denmark, ten-year-old Annemarie learns how to be courageous and resourceful as she helps shelter her Jewish friend from the Nazis. Reprint. Newbery Medal Winner. AB. SLJ. K. H.",Juvenile Fiction,Juvenile
0440227704,Many Waters (Laurel Leaf Books),Madeleine L'Engle,1991,Laurel-Leaf Books,"""Sandy and Dennys, twins and middle children in the Newbery-winning ""A Wrinkle in Time,"" are transported to the time just before the Flood. . .This will be enjoyed for its suspense and humor as well as its other levels of meaning."" --Pointer, ""Kirkus Reviews "" ""L'Engle blends speculative fiction with biblical theology to create another provocative spellbinding tale."" --""Philadelphia Inquirer""",Juvenile Fiction,Juvenile
0440228840,Demon in My View (Laurel-Leaf Books),AMELIA ATWATER-RHODES,2001,Laurel Leaf,Seventeen-year-old Jessica Allodola discovers that the vampire world of her fiction is real when she develops relationships with an alluring vampire named Aubrey and the teenage witch who is trying to save Jessica from his clutches.,Juvenile Fiction,Juvenile
0440229081,Skellig,David Almond,2001,Laurel-Leaf Books,"Unhappy about his baby sister's illness and the chaos of moving into a dilapidated old house, Michael retreats to the garage and finds a mysterious stranger who is something like a bird and something like an angel.",Juvenile Fiction,Juvenile
0440229316,For All Time,Caroline B. Cooney,2003,Laurel-Leaf Books,"Annie Lockwood, a teenager in 1999, tries to travel back in time to join her lost love Strat in Egypt in 1899, but instead she ends up in ancient Egypt and in great danger. Reprint.",Juvenile Fiction,Juvenile
0440229405,Shattered Mirror,Amelia Atwater-Rhodes,2003,Laurel-Leaf Books,"As seventeen-year-old Sarah Vida, daughter of a powerful line of vampire-hunting witches, continues to pursue the ancient bloodsucker Nikolas, she finds herself in a dangerous friendship with two vampire siblings in her high school. Reprint.",Juvenile Fiction,Juvenile
0440234743,The Testament,John Grisham,1999,Dell,"A suicidal billionaire, a burnt-out Washington litigator, and a woman who has forsaken technology to work in the wilds of Brazil are all brought together by an astounding mystery of the testament",Fiction,Fiction
0440235162,The Smoke Jumper,Nicholas Evans,2002,Dell Publishing Company,"A woman must choose between two men, best friends, that both love her, in a poignant story of love, loyalty, honor, and guilt set against the perilous backdrop of wilderness firefighting. By the author of The Horse Whisperer. Reprint.",Fiction,Fiction
0440236738,Gone for Good,HARLAN COBEN,2003,Dell,"Investigating his girlfriend's mysterious disappearance, Will Klein learns that she is somehow tied to his brother's death and becomes increasingly disturbed when he realizes that everyone he loves is harboring dark secrets. By the author of Tell No One. Reprint.",Fiction,Fiction
0440237165,The Coalwood Way,Homer Hickam,2001,Island,"Continuing the story of the Rocket Boys of Coalwood, West Virginia, the author recounts his senior year in high school, while the forces of change bring Coalwood to a difficult crossroads and strain threatens to tear apart the Hickam home.",Biography & Autobiography,Biography & Autobiography
0440237971,Midnight Predator,AMELIA ATWATER-RHODES,2003,Laurel Leaf,"Turquoise Draka, a mercenary trained to fight vampires, witches, and shape-shifters, infiltrates a vampire stronghold. But ghosts from her past and new possibilities for her future distract her from the work at hand. An ALA Quick Pick.",Juvenile Fiction,Juvenile
0440238145,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,2003,Laurel Leaf,"As the boundaries between worlds begin to dissolve, Lyra and her daemon help Will Parry in his search for his father and for a powerful, magical knife.",Juvenile Fiction,Juvenile
0440238153,"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,2003,Laurel Leaf,"Lyra and Will find themselves at the center of a battle between the forces of the Authority and those gathered by Lyra's father, Lord Asriel.",Juvenile Fiction,Juvenile
0440238609,His Dark Materials Trilogy: The Golden Compass / The Subtle Knife / The Amber Spyglass,Philip Pullman,2003,Laurel-Leaf Books,"Lyra Belacqua tries to prevent kidnapped children from becoming the subject of gruesome experiments, helps Will Parry search for his father, and finds that she and Will are caught in a battle between the forces of the Authority and those gathered by her uncle, Lord Asriel.",Fiction,Fiction
0440241057,Slightly Wicked (Get Connected Romances),Mary Balogh,2003,Dell Publishing Company,"Judith allows herself one night of reckless passion with a heroic stranger before settling into a dreary life as her aunt's companion, but she is shocked when the stranger arrives at her aunt's home, Harewood Grange, to woo her cousin.",Fiction,Fiction
0440322278,18 Best Stories by Edgar Allan Poe,Edgar Allan Poe,1983,Dell Publishing Company,The terror and horror that typify Poe's fiction are evidenced in such tales as The Fall of the House of Usher and The Pit and the Pendulum,Fiction,Fiction
0440400341,About the B'Nai Bagels,E.L. KONIGSBURG,1985,Yearling,Mark feels ill at ease in right field because his mother and brother are manager and coach of his Little League team.,Juvenile Fiction,Juvenile
0440402913,Anastasia on Her Own,Lois Lowry,1986,Yearling Books,"In her mother's absence, resourceful Anastasia Krupnik has to cope with her brother Sam's chicken pox, an unexpected visit from her father's old girlfriend, and her own first date.",Juvenile Fiction,Juvenile
0440410258,Escape from Fire Mountain (Gary Paulsen world of adventure),GARY PAULSEN,1995,Yearling,"Thirteen-year-old Nikki Roberts tries to help two children trapped by a forest fire but finds her efforts blocked by poachers who want her to become one of the fire's victims. But after a shocking turn of events, the fire becomes the least of Nikki's problems. Will Nikki's horse, Goblin, and her years of hunting guide experience save her, or will Fire Mountain reign supreme?",Juvenile Fiction,Juvenile
0440412242,The Children on the Top Floor,Noel Streatfeild,1985,Yearling Books,"Abandoned as babies on the doorstep of television star, Malcolm Masters, Thomas, Lucy, Margery, and William also become TV performers, but problems arise when Malcolm goes off on an extended cruise, leaving the children behind.",Television,Arts & Entertainment
0440414008,"See You Around, Sam!",Lois Lowry,1998,Yearling Books,"Sam Krupnik, mad at his mother because she won't let him wear his new plastic fangs in the house, decides to run away to Alaska.",Juvenile Fiction,Juvenile
0440415241,Stay!: Keeper's Story,Lois Lowry,1999,Yearling Books,"Separated early in life from his mother and siblings, Keeper tells of his adventures with various human masters and his continual search for his little sister.",Juvenile Fiction,Juvenile
0440415802,Summer of the Monkeys,Wilson Rawls,1999,Yearling Books,Fourteen-year-old Jay tries to recover a group of wily monkeys escaped from a circus train in the hopes the reward will buy him the gun and pony he has so long wanted.,Juvenile Fiction,Juvenile
0440416884,Harriet Spies Again,HELEN ERICSON,2003,Yearling,"When her married nanny returns to take care of her while her parents are away in France, Harriet hears something curious that makes her think Ole Golly is in some sort of trouble.",Juvenile Fiction,Juvenile
0440419174,Vincent Van Gogh: Portrait of an Artist,Jan Greenberg,2003,Yearling Books,"Profiles the turbulent life of Vincent van Gogh from his birth in the Netherlands, through his attempts to be a clergyman, to his years of painting, and finally, to his death in Auvers-sur-Oise near Paris. An ALA Notable Book. Reprint.",Juvenile Nonfiction,Juvenile
0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling,"A midnight visitor escorts Meg, Calvin, and Charles across the barriers of space and time to another world.",Juvenile Fiction,Juvenile
044050306X,Masks of the Illuminati,ROBERT A. WILSON,1990,Dell,Sir John Babcock discovers a secret international organization and seeks the help of Albert Einstein and James Joyce in exposing it,Fiction,Fiction
0440504708,"I'm Good Enough, I'm Smart Enough, and Doggone It, People Like Me! : Daily Affirmations By Stuart Smalley",AL FRANKEN,1992,Dell,"In a parody of self-help books, Al Franken's comic character, Stuart Smalley, describes his own efforts to cope with life over one year",Humor,Humor
0440506816,Your Eight Year Old: Lively and Outgoing,Louise Bates Ames,1990,Dell Publishing Company,"The eight-year-old child is an exuberant, outgoing bundle of energy; he meets every challenge head-on, willing to try almost anything. Sometimes parents are amazed at the enthusiasm and excitement with which their child greets the world. However, eight is also a time when the child begins to do a great deal of analyzing and evaluating, finding fault in himself and others--especially Mohter. How do parents help an eight-year-old through this up-and-down age? What should parents expect in their relationships with the child and how can life in the family be made easier? What will the child's relationship with friends and siblings be like? In the successful tradition of the Gesell institute series,Your Eight-Year-Oldis a well-researched, highly accessible guide.",Family & Relationships,Family & Relationships
0440905605,Beowulf: A New Telling,Robert Nye,1982,Laure Leaf,"Interpretation of the Anglo-Saxon epic in prose for young readers tells about the young hero who fights and kills the water monster, Grendel.",Fiction,Fiction
0440910811,A Ring of Endless Light,Madeleine L'Engle,1995,Bantam Doubleday Dell Books,"During the summer her grandfather is dying of leukemia and death seems all around, 15-year-old Vicky finds comfort with the pod of dolphins with which she has been doing research. Copyright © Libri GmbH. All rights reserved.",Death,Detective
0440936853,A House Like a Lotus,MADELEINE L'ENGLE,1985,Laure Leaf,"Drawn to the wealthy and brilliant artist Maximiliana Horne and grateful for her stimulating education at Max's direction, sixteen-year-old Polly finds herself suddenly and inexplicably betrayed by her idol.",Adolescence,Teenagers
0441003729,Starplex,Robert J. Sawyer,1996,Ace Books,"Twenty years after the discovery of artificial wormholes launches Earth space exploration to unforeseeable heights, Starplex Director Keith Lansing investigates a mysterious vessel that soon threatens the station with intergalactic war. Original.",Fiction,Fiction
0441004091,Tramp Royale,Robert A. Heinlein,1996,Ace Books,"The author recounts his travels around the world, detailing his experiences in places ranging from New Orleans to the Panama Canal to the African veldt",Biography & Autobiography,Biography & Autobiography
0441004997,The Hero and the Crown,Robin McKinley,1998,Ace Books,"Aerin, with the guidance of the wizard Luthe and the help of the blue sword, wins the birthright due her as the daughter of the Damarian king and a witchwoman of the mysterious, demon-haunted North.",Fiction,Fiction
0441005837,Rose Daughter,Robin McKinley,1998,Ace Books,The winner of the Newbery Award for The Hero and the Crown returns to the fairy tale of the Beauty and the Beast to create a haunting portrayal of the transformative power of love. Reprint. PW.,Juvenile Fiction,Juvenile
0441005969,Riddle-Master: The Complete Trilogy,Patricia A. McKillip,1999,Ace Books,"A collection of the complete and long out-of-print Riddle-Master trilogy, a modern-day fantasy classic, offers a new introduction by the author and brings back the magical adventures of a young prince discovering his identity in a uniquely realized land. Original.",Fiction,Fiction
0441010288,The Lost Years of Merlin,T. A. Barron,2002,Ace,"The first title in this bestselling series, now available in paperback, follows the adventures and training of young Merlin who is destined to become the greatest wizard of all time. Illustrations. Copyright © Libri GmbH. All rights reserved.",Fiction,Fiction
0441102670,"Chapterhouse Dune (Dune Chronicles, Book 6)",Frank Herbert,1996,ACE Charter,"Fifteen thousand years after Leto II's death, the remnants of the Bene Gesserit contend with the ruthless leaders of an alien culture to forge a new civilization and preserve the best of the Old Empire",Fiction,Fiction
0441248837,Betcha Can't Read Just One,Alan Dean Foster,1993,Ace Books,"A collection of funny and strange fantasy tales features George Alec Effinger's ""The Wicked Old Witch,"" Mike Resnick's ""Final Solution,"" and Ron Goulart's ""New Hope for Denture Wearers,"" plus thirteen more",Fiction,Fiction
0441317480,Hard Sell,Piers Anthony,1993,Ace Books,"Mr. Fisk Centers buys real estate on Mars, where he drives a supersonic car in a suicide race and visits a robot mortician for a sample embalming. Reprint.",Fiction,Fiction
0441444253,Killobyte,Piers Anthony,1994,ACE Charter,"With the magic of Killobyte, a wheelchair-bound cop stands and fights an army of sorcerers, a heartbroken girl heals her pain through role-playing, and a mystery player satisfies his urge to kill. Reprint.",Fiction,Fiction
0441542158,The Moon in Hiding,Teresa Edgerton,1989,Ace Books,"Televi, apprentice to the wizard Glastyn, and Ceilyn, the kingdom's most virtuous knight, are accused of witchcraft and robbery respectively",Fiction,Fiction
0441623824,The Omega Cage,Steve Perry,2004,Ace Books,"Dain Maro, unjustly sentenced to the horrific high-tech prison called the Omega Cage, attempts the impossible in crossing bone-littered deserts and deadly swamps to escape Warden Stark and his merciless hunting machines",Fiction,Fiction
0441627404,The Once and Future King,T. H. White,1987,Ace Books,"Describes King Arthur's life from his childhood to the coronation, creation of the Round Table, and search for the Holy Grail",Fiction,Fiction
044173118X,Robot Adept (Apprentice Adept (Paperback)),Piers Anthony,1989,Ace Books,"Proton and Phaze, parallel worlds of science and magic, are ripe with the seeds of revolution. Mach, a brave and sensitive robot from Proton, and his alternate self, magical Bane from Phaze, hold the power to link the two warring systems--or to destroy them entirely. Reissue.",Fiction,Fiction
0441748600,To Sail Beyond the Sunset,Robert Heinlein,1996,Ace Books,"The author ties together themes and characters from his previous stories as he traces the life and loves of Maureen Johnson, the mother of Lazarus Long",Fiction,Fiction
0441864619,Vision of Tarot,Piers Anthony,1987,Ace Books,"On the planet Tarot nothing is real. Or everything. For the shimmering Animation curtain is moving across the worldscape like a storm of monsters, changing fantasy into hideous reality, trapping the wanderer-monk Paul in a nightmare of dragons, demons, and spectacular lusts.",Fiction,Fiction
0445405562,Cast a Yellow Shadow,Ross Thomas,1987,Warner Books,"Directed by an anonymous perpetrator to kill a South African prime minster, soldier of fortune Michael Padillo is told that his partner's kidnapped wife will die if he fails to comply. Reissue.",Fiction,Fiction
0446300004,Heat,William Goldman,1986,Warner Books,"Las Vegas security officer Nick Escalante, an ex-Marine, chances on to a bizarre kidnapping threat and is plunged into a nightmare world of false identities, vicious grievances, and gruesome encounters",Fiction,Fiction
0446354732,Nothing Lasts Forever,Sidney Sheldon,1995,Warner Books,"Three young doctors-their hopes, their dreams, their unexpected desires... Dr. Paige Taylor: She swore it was euthanasia, but when Paige inherited a million dollars from a patient, the D.A. called it murder. Dr. Kat Hunter: She vowed never to let another man too close again-until she accepted the challenge of a deadly bet. Dr. Honey Taft: To make it in medicine, she knew she'd need something more than the brains God gave her. Racing from the life-and-death decisions of a big major hospital to the tension-packed fireworks of a murder trial, Nothing Lasts Forever lays bare the ambitions and fears of healers and killers, lovers and betrayers. And proves once again that no reader can outguess Sidney Sheldon, the master of the unexpected.",Fiction,Fiction
0446359203,Carrion Comfort,Dan Simmons,1990,Warner Books,"Three elderly friends, who possess supernatural powers and who feed off of emotions generated during the murders they orchestrate, meet every year to discuss their game--an ongoing competition of mass murder and vampirism",Fiction,Fiction
0446362662,Summer of Night (Aspect Fantasy),Dan Simmons,1992,Warner Books,"In the summer of 1960 in Elm Haven, Illinois, five 12-year-old boys forge the powerful bonds that a lifetime of change will not break. An ancient, sinister evil lurks in the dark, and when a long-silent bell peals in the middle of the deepest night, the people know it marks the beginning of terror. Now Mike, Duane, Dale, Harlen, and Kevin must wage a fraternal war of blood against an arcane abomination.",Fiction,Fiction
0446363162,Back Bay,William Martin,1992,Warner Books,"Meet the Pratt clas. Driven men. Determined women. Through six turbulent generations, they would pursue a lost Paul Revere treasure. And turn a family secret into an obsession that could destroy them. Here is the novel that launched William Martin's astonishing literary career and became an instant bestseller. From the grit and romance of old Boston to exclusive -- and dangerous -- Back Bay today, this sweeping saga paints an unforgettable portrait of a powerful dynasty beset by the forces of history...and a heritage of greed, lust, murder and betrayal.",Fiction,Fiction
0446390577,Bare Bones: Conversations on Terror With Stephen King,Tim Underwood,1989,Warner Books,"In a series of interviews, the acknowledged master of horror fiction reveals the creative source behind his stories, discussing his life, his career, and his philosophy on writing, and what he believes makes horror stories so popular",Fiction,Fiction
044651862X,The Celestine Prophecy (Celestine Prophecy),James Redfield,1994,Warner Books,"You have never read a book like this before -- a book that comes along once in a lifetime to change lives forever. In the rain forests of Peru, an ancient manuscript has been discovered. Within its pages are 9 key insights into life itself -- insights each human being is predicted to grasp sequentially; one insight, then another, as we move toward a completely spiritual culture on Earth. Drawing on ancient wisdom, it tells you how to make connections among the events happening in your life right now and lets you see what is going to happen to you in the years to come. The story it tells is a gripping one of adventure and discovery, but it is also a guidebook that has the power to crystallize your perceptions of why you are where you are in life and to direct your steps with a new energy and optimisim as you head into tomorrow.",Fiction,Fiction
0446526126,Ten Things I Wish I'd Known Before I Went Out into the Real World,Maria Shriver,2000,Warner Books,"Award-winning broadcast journalist and NBC anchor-woman Maria Shriver reveals the lessons she has learned that have guided her journey as a career woman, wife and mother.",Self-Help,Self-care
0446600342,Where There's Smoke,Sandra Brown,1994,Warner Books,"When a determined doctor meets the rebellious heir to a Texas oil dynasty, sparks fly . . . but the flames of passion blazing between them could destroy an empire. No one knows why Dr. Lara Mallory opened up her medical practice in the rowdy Texas town controlled by Tackett Oil. But everyone remembers her role in the well-publicized scandal that caused the downfall of White House hopeful Senator Clark Tackett. Now the iron-fisted matriarch of Tackett Oil intends to use her money and power to drive Lara out of town . . . especially when Lara meets Key, the hell-raising -- and handsome -- youngest Tackett son. Following a cataclysmic meeting, this determined doctor and brash, daring pilot find themselves hurtling on a dangerous quest for the one secret that can destroy the Tackett empire -- and anyone who dares to challenge its power. But Lara decides to find the truth behind the corruption in town, even if it costs her everything.",Fiction,Fiction
0446600474,Season of the Machete,James Patterson,1995,Warner Books,"Forsaking his life of leisure, Peter Macdonald prepares for a confrontation on a vacation island with psychopathic killers-for-hire Damian and Carrie Rose",Fiction,Fiction
0446600709,Assumed Identity,David Morrell,1994,Warner Books,"Tracking a devastating conspiracy into the heart of Mexico's Yucata+a7n peninsula, a master of disguise begins to lose his grasp on who he really is and struggles with his love for two women. Reprint.",Fiction,Fiction
0446601853,Charade,Sandra Brown,1995,Warner Books,"A TV star with a new lease on life must team up with an ex-cop to investigate a series of murders and dark secrets while danger lurks just outside her door. A medical miracle gives TV personality Cat Delaney more than a new heart. With her second chance at life Cat trades Hollywood for San Antonio, where she hosts a TV show for children with special needs. Here she meets Alex Pierce, an ex-cop turned crime writer -- and the first man to see her as a woman since her surgery. But her new world turns sinister when fatal ""accidents"" begin killing other heart recipients, and a mysterious stalker starts shadowing her every move. Soon Cat realizes Alex may or may not be her most important ally -- and that her new heart comes at a terrible price: a tangled web of secrets and someone determined to take her life.",Fiction,Fiction
0446602485,Night Train to Memphis,Elizabeth Peters,1995,Warner Books,"An assistant curator of Munich's National Museum, Vicky Bliss is no expert on Egypt, but she does have a Ph.D. in solving crimes. So when an intelligence agency offers her a luxury Nile cruise if she'll help solve a murder and stop a heist of Egyptian antiquities, all 5'11"" of her takes the plunge. Vicky suspects the authorities really want her to lead them to her missing lover, the art thief and master of disguises she knows only as ""Sir John Smythe."" And right in the shadow of the Sphinx she spots him. . . with his new flame. Vicky is so furious at this romantic stab-in-the-back, not to mention the sudden arrival of her meddling boss, Herr Dr. Schmidt, that she may overlook a danger as old as the pharaohs and as unchanging. . . a criminal who hides behind a mask of charm while moving in for the kill.",Fiction,Fiction
0446604232,Exclusive,Sandra Brown,1997,Warner Books,"An ace reporter investigates the suspicious death of her best friend's baby in this #1 New York Times bestselling political thriller of murder, passion, and intrigue in the White House. Barrie Travis is not famous; she's just a damn good reporter stuck at a low-budget television station. Then, her old friend -- now America's First Lady -- asks her to investigate the death of her baby. Stunned by grief after the loss of her infant son, the President's wife hints that her child didn't really die of SIDS; in reality, he may have been murdered. Blind to everything but finding the truth, Barrie delves into the private lives of the president and his wife and uncovers dark and terrible secrets that will test her ethics, her patriotism, and her courage. With the help of Gray Bondurant, a mysterious former presidential aide, this story could topple the presidency and change the course of history. In this fast-moving tale from a master of suspense, Barrie must fight powerful forces that want nothing more than to see the scandalous past -- and a certain young reporter -- dead and buried.",Fiction,Fiction
0446604402,The Laws of Our Fathers,Scott Turow,1997,Warner Books,"In Kindle County, a woman is killed in an apparent random drive-by shooting. The woman turns out to be the ex-wife of a prominent state senator and an old acquaintance of Judge Sonia Klonsky, on whose desk the case lands. As the pursuit of justice takes bizarre and unusual turns, Judge Klonsky is brought face-to-face with a host of extraordinary personalities and formidable enemies bent on her destruction.",Fiction,Fiction
0446605468,"The Neutronium Alchemist : Conflict  (Neutronium Alchemist, No 2)",Peter F. Hamilton,1998,Warner Books,"The future of humanity is in doubt when the minds of those long dead begin taking over the bodies of the living, forcing one man to search for a lost doomsday machine",Fiction,Fiction
0446605581,Fat Tuesday,Sandra Brown,1998,Warner Vision,"In this ""intriguing"" thriller (People), a New Orleans police officer kidnaps an attorney's wife in an act of revenge -- but he's not expecting the electric attraction between them. Burke Basile is a cop with nothing left to lose. Haunted by his partner's death, the end of his marriage, and the destruction of his career, he targets his nemesis, a flamboyant attorney who helps killers evade justice. Burke's shocking revenge centers around kidnapping Remy, the lawyer's trophy wife. But Burke hasn't planned on the scorching desire he'll feel for this desperate woman, who rose from the slums of New Orleans to marry a man she can never love. Nor can he predict the fierce duel that will explode as the clock ticks toward midnight on Fat Tuesday when all masks will be stripped away -- and Burke will be forced to confront his own terrifying secret.",Fiction,Fiction
0446606812,Message in a Bottle,Nicholas Sparks,1999,Warner Vision,"In this New York Times bestseller, a single mother sets out to find the North Carolina man who sent a message meant for someone else . . . and the journey may change her life forever. Divorced and disillusioned about relationships, Theresa Osborne is jogging when she finds a bottle on the beach. Inside is a letter of love and longing to ""Catherine,"" signed simply ""Garrett."" Challenged by the mystery and pulled by emotions she doesn't fully understand, Theresa begins a search for this man that will change her life. What happens to her is unexpected, perhaps miraculous-an encounter that embraces all our hopes for finding someone special, for having a love that is timeless and everlasting.... Nicholas Sparks exquisitely chronicles the human heart. In his first bestselling novel, The Notebook, he created a testament to romantic love that touched readers around the world. Now in this New York Times bestseller, he renews our faith in destiny, in the ability of lovers to find each other no matter where, no matter when...",Fiction,Fiction
0446607134,Death of a Gossip (Hamish Macbeth Mysteries (Paperback)),M. C. Beaton,1999,Warner Books,"When society widow and gossip columnist Lady Jane Winter's body is fished out of the river, Lochdubh Constable Hamish Macbeth and Priscilla Halburton-Smythe navigate the choppy waters of the tattler's life to find a murderer. Reprint.",Fiction,Fiction
0446607207,Tell Me Your Dreams,Sidney Sheldon,1999,Warner Vision,Computer whiz Ashley Patterson is convinced she is being stalked. Coworker Toni Prescott has a penchant for Internet dating and little time for anyone else. And Alette Peters prefers quiet weekends in the arms of a beefcake artist. They know virtually nothing about each other--until the three women are linked by a murder investigation that will lead to one of the most bizarre trials of the century.,Fiction,Fiction
0446608289,Death of an Addict (Hamish Macbeth Mysteries (Paperback)),M. C. Beaton,2001,Warner Books,"From the author of the Agatha Raisin television series...DEATH OF AN ADDICT: A Hamish Macbeth MysteryFormer drug addict Tommy Jarret rents a Scottish chalet to check out reports of a sea monster. But when he is found dead of an apparent drug overdose, constable Hamish Macbeth suspects foul play. Teaming with Glasgow Detective Inspector Olivia Chater, Macbeth goes undercover and dives into the underworld to root out a cartel secretly entrenched in the Highlands.",Fiction,Fiction
0446608475,The Wild Swans,Peg Kerr,2001,Aspect,"This novel focuses on two outcasts on two journeys in two eras. In 1689 England, Lady Eliza Grey's 11 brothers are turned into swans. Rejected by her father, Eliza is flown to America by her brothers where she has a chance to save them--until she is accused of witchcraft. In the second story, set in 1981 New York, Elias Latham has AIDS, is banished from his father's house, and must learn to live on the streets. Like Eliza, Elias struggles to understand the suffering he must endure.",Fiction,Fiction
0446608602,Personal Injuries,Scott Turow,2000,Warner Vision,"To Robbie Feaver the law is all about making a play-to a client, a jury, or a judge. But when the flashy, womanizing, multimillion-dollar personal injury lawyer is caught offering bribes, he's forced to wear a wire. Even as the besieged attorney looks after his ailing wife, Feaver must also make tapes that will hurl his friends, his enemies, his city, and a particular FBI undercover agent into a crisis of conscience and law. Now Robbie Feaver is making the play of his life.",Fiction,Fiction
0446608890,Saving Faith,David Baldacci,2000,Warner Vision,"When lobbyist Faith Lockhart stumbles upon a corruption scheme at the highest levels of government, she becomes a dangerous witness who the most powerful men in the world will go to any lengths to silence in this #1 New York Times bestselling thriller. In a secluded house not far from Washington, D.C., the FBI is interviewing one of the most important witnesses it has ever had: a young woman named Faith Lockhart. For Faith has done too much, knows too much, and will tell too much. Feared by some of the most powerful men in the world, Faith has been targeted to die. But when a private investigator walks into the middle of the assassination attempt, the shooting suddenly goes wrong, and an FBI agent is killed. Now Faith Lockhart must flee for her life--with her story, her deadly secret, and an unknown man she's forced to trust...",Fiction,Fiction
0446609196,A Highland Christmas (Hamish Macbeth Mysteries (Paperback)),M. C. Beaton,2002,Warner Books,"From the author of the Agatha Raisin television series...A HIGHLAND CHRISTMAS: A Hamish Macbeth Mystery Celebrate the Holidays with M. C. Beaton, The Queen of The Cozy Mystery. In the dark, wintry highlands of Lochdubh, Scotland, where the local Calvinist element resists the secular trimmings of Christmas, the spirit of Old St. Nick is about as welcome as a flat tire on a deserted road. Nor is crime taking a holiday, as Constable Hamish Macbeth soon finds himself protecting an unhappy girl, unlocking the secrets of a frightened old woman, and retrieving some stolen holiday goods. Now the lanky lawman must use all his Highland charm and detective skills to make things right. And he had better do it quickly, for the church bells will soon toll and all of Lochdubh will be forced to face another dreary winter without the comforting embrace of Yuletide cheer.",Fiction,Fiction
0446610178,The Sky Is Falling,Sidney Sheldon,2001,Warner Books,"The Winthrops are America's royal family, and its Prince Charming is the sexy, charismatic Gary Winthrop. Now the man on his way to becoming the Senate's brightest new star is found murdered in his home-the latest in a series of incidents that have killed five members of the family in a single year. One of the last people to see Gary Winthrop alive is Washington anchorwoman Dana Evans. She makes it her mission to investigate these seemingly random tragedies, little realizing that her search will sweep her across several continents, place her and her young son in grave danger, and lead her to a truth that will astound the world.",Fiction,Fiction
0446611085,Suzanne's Diary for Nicholas,James Patterson,2003,Warner Books,"Katie Wilkinson has finally found the perfect man - but one day he suddenly disappears, leaving behind only a diary written by a new mother named Suzanne for her baby, Nicholas. In it she intimately reveals the romance between herself and the child's father, her hopes for their marriage, and her unparalleled joy in motherhood. As Katie reads on, she realizes that the man she loves is Suzanne's husband. Now, filled with terror and hope, Katie must struggle to understand what has happened - and find out if her new love has a prayer of surviving.",Fiction,Fiction
0446611913,Up Country,Nelson DeMille,2003,Warner Vision,Retired Army investigator Paul Brenner is called back into service to investigate the death of a soldier thirty years earlier in Vietnam--a case that stirs up many unpleasant memories. Reprint.,Fiction,Fiction
0446612626,Reversible Errors,Scott Turow,2003,Warner Vision,"Corporate lawyer Arthur Raven is the court-appointed attorney for a Death Row inmate. Convinced his client is innocent thanks to new evidence, Raven is a fervent crusader--and also a rookie in the vicious world of criminal law.",Fiction,Fiction
